player,action,tile,combination
0,discard,N,
1,drawn,,
1,discard,Red,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,E,
0,drawn,,
0,discard,S,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,b1,
3,drawn,,
3,discard,N,
0,drawn,,
0,discard,b1,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,W,
3,drawn,,
3,discard,d8,
0,drawn,,
0,discard,d1,
1,drawn,,
1,discard,N,
2,drawn,,
2,discard,W,
3,drawn,,
3,discard,S,
0,drawn,,
0,discard,d4,
1,drawn,,
1,discard,N,
2,drawn,,
2,discard,c8,
3,drawn,,
3,discard,S,
0,drawn,,
0,discard,d9,
1,drawn,,
1,discard,c2,
2,drawn,,
2,discard,d1,
3,drawn,,
3,discard,c1,
0,drawn,,
0,discard,c8,
1,drawn,,
1,discard,W,
2,drawn,,
2,discard,c9,
3,drawn,,
3,discard,b1,
0,drawn,,
0,discard,d1,
1,drawn,,
1,discard,b9,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,b2,
0,drawn,,
0,discard,White,
1,drawn,,
1,discard,b8,
2,drawn,,
2,discard,c2,
3,drawn,,
3,discard,b1,
0,drawn,,
0,discard,White,
1,drawn,,
1,discard,b6,
2,drawn,,
2,discard,c9,
3,drawn,,
3,discard,c1,
0,drawn,,
0,discard,White,
1,drawn,,
1,discard,c6,
2,drawn,,
2,discard,d2,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,d4,
1,drawn,,
1,discard,c4,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,S,
0,drawn,,
0,discard,b6,
1,drawn,,
1,discard,c4,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,b6,
1,drawn,,
1,discard,c7,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,W,
1,drawn,,
1,discard,c7,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,Green,
0,drawn,,
0,discard,d2,
1,drawn,,
1,discard,c8,
2,drawn,,
2,discard,White,
3,drawn,,
3,discard,b4,
0,drawn,,
0,discard,d2,
1,drawn,,
1,discard,d9,
2,drawn,,
2,discard,c6,
3,drawn,,
3,discard,b8,
0,drawn,,
0,discard,d5,
1,drawn,,
1,discard,d9,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,Green,
0,drawn,,
0,discard,b6,
1,drawn,,
1,discard,c2,
2,drawn,,
2,discard,b7,
3,drawn,,
3,discard,b2,
0,drawn,,
0,discard,b4,
1,drawn,,
1,discard,d2,
2,drawn,,
2,discard,b7,
3,drawn,,
3,discard,Red,
0,drawn,,
0,discard,b7,
1,drawn,,
1,discard,b9,
2,drawn,,
2,discard,b8,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,b7,
1,drawn,,
1,discard,d3,
2,drawn,,
2,discard,Green,
3,drawn,,
3,discard,c3,
0,drawn,,
0,discard,d9,
1,drawn,,
1,discard,d4,
